iter	Passed	Remaining
883	1135	148
884	1136	147
885	1137	146
886	1139	145
887	1140	143
888	1141	142
889	1143	141
890	1144	139
891	1145	138
892	1146	137
893	1147	136
894	1148	134
895	1150	133
896	1151	132
897	1152	130
898	1153	129
899	1154	128
900	1155	126
901	1156	125
902	1157	124
903	1159	123
904	1160	121
905	1162	120
906	1163	119
907	1164	117
908	1165	116
909	1167	115
910	1168	114
911	1169	112
912	1170	111
913	1171	110
914	1172	108
915	1173	107
916	1174	106
917	1175	105
918	1176	103
919	1178	102
920	1179	101
921	1180	99
922	1181	98
923	1182	97
924	1183	95
925	1185	94
926	1186	93
927	1187	92
928	1188	90
929	1189	89
930	1190	88
931	1191	86
932	1192	85
933	1193	84
934	1194	83
935	1195	81
936	1196	80
937	1197	79
938	1198	77
939	1199	76
940	1200	75
941	1201	74
942	1202	72
943	1204	71
944	1205	70
945	1206	68
946	1207	67
947	1208	66
948	1209	64
949	1210	63
950	1211	62
951	1212	61
952	1213	59
953	1214	58
954	1215	57
955	1216	55
956	1217	54
957	1218	53
958	1219	52
959	1220	50
960	1221	49
961	1223	48
962	1224	47
963	1225	45
964	1226	44
965	1227	43
966	1228	41
967	1229	40
968	1231	39
969	1232	38
970	1233	36
971	1234	35
972	1236	34
973	1237	33
974	1238	31
975	1239	30
976	1240	29
977	1242	27
978	1243	26
979	1244	25
980	1245	24
981	1246	22
982	1248	21
983	1249	20
984	1250	19
985	1251	17
986	1252	16
987	1253	15
988	1254	13
989	1256	12
990	1257	11
991	1258	10
992	1259	8
993	1260	7
994	1261	6
995	1262	5
996	1263	3
997	1264	2
998	1265	1
999	1266	0
